trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.8, 'e': 0.42741493194872671}",20,0,2.903280988580514,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
86,False,"{'a': 0.8, 'e': 0.42316208231774882}",30,9,-44.222611509551065,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.418951549247639}",25,14,15.205604405856606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.8, 'e': 0.41478291168158138}",25,16,15.760903383735624,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.8, 'e': 0.4106557527523455}",25,5,33.54276367638778,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.8, 'e': 0.40656965974059911}",25,0,9.516654217421442,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
91,False,"{'a': 0.8, 'e': 0.40252422403363597}",20,12,12.64632457413521,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.8, 'e': 0.39851904108451414}",25,10,16.42591290497903,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.8, 'e': 0.39455371037160109}",20,0,28.47769545689271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.8, 'e': 0.39062783535852108}",25,13,-10.654444466464984,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.8, 'e': 0.38674102345450118}",25,14,17.687478806984128,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.8, 'e': 0.38289288597511206}",20,10,18.658426605144136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.8, 'e': 0.37908303810339883}",20,12,3.23869287954365,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.8, 'e': 0.37531109885139957}",25,0,16.314139561058937,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
99,False,"{'a': 0.8, 'e': 0.37157669102204571}",25,0,-5.18251553523741,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
